# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.350435843955860804e+01,3.327974365986817418e+01,3.321589790057322489e+01,3.270638026535805665e+01,3.327144879103999386e+01,3.402217094360194949e+01
3.392100698242619927e+01,3.314979154179443555e+01,3.292920147577936518e+01,3.121549393520150417e+01,3.304322006997234240e+01,3.574128599482614987e+01
3.440523699458049833e+01,3.299924286179749089e+01,3.259552014362201788e+01,2.956213081657744723e+01,3.261004860425393304e+01,3.782782057916863039e+01
3.484118375468332118e+01,3.286343051353476596e+01,3.229538573178191285e+01,2.815732734465367670e+01,3.202955869257490207e+01,3.981311396277141768e+01
3.519217548539389639e+01,3.275340385268973620e+01,3.205442066191637451e+01,2.708605433768801518e+01,3.140536912616260068e+01,4.150857653614937703e+01
3.546217170666795226e+01,3.266810124337458632e+01,3.186972704995746852e+01,2.629683727595710963e+01,3.081553101639947201e+01,4.288763170764342902e+01
3.566711179555718303e+01,3.260285130844848567e+01,3.173003689599433841e+01,2.571634106736679826e+01,3.029666260442162695e+01,4.398699632821157479e+01
3.582302075833241872e+01,3.255287245610730196e+01,3.162410678556028643e+01,2.528432839596785797e+01,2.985706178945229539e+01,4.485860981457983598e+01
3.594275574476090895e+01,3.251426837065847053e+01,3.154297588458063117e+01,2.495753554350739734e+01,2.949126342100127474e+01,4.555120103549132438e+01
3.603586198660227069e+01,3.248410685060539294e+01,3.148003116279233637e+01,2.470605744219294309e+01,2.918894059918295980e+01,4.610500195862410777e+01
3.610923395308221728e+01,3.246024541407027897e+01,3.143052063284749309e+01,2.450931323514926063e+01,2.893918576782621344e+01,4.655150099702453304e+01
3.616782220406078352e+01,3.244113077566274939e+01,3.139104702027647065e+01,2.435301144596969891e+01,2.873220713208297639e+01,4.691478142194732470e+01
3.621519664571537334e+01,3.242563386563619332e+01,3.135916948864843690e+01,2.422708650433977695e+01,2.855980134813496107e+01,4.721311214752525842e+01
3.625395517987715976e+01,3.241292757591211426e+01,3.133311724421072242e+01,2.412433599570362119e+01,2.841531688070463701e+01,4.746034712359173824e+01
3.628600992517264956e+01,3.240239977024108242e+01,3.131159030458627868e+01,2.403952331282445698e+01,2.829344186964594243e+01,4.766703481752960414e+01
3.631278547866570250e+01,3.239359227621449833e+01,3.129362224511979917e+01,2.396878205338658674e+01,2.818995918524807465e+01,4.784125876136533861e+01
3.633535630193727428e+01,3.238615818486695019e+01,3.127848551319577552e+01,2.390921569685890091e+01,2.810152285499100699e+01,4.798926144815008143e+01
3.635454251359252709e+01,3.237983183237155060e+01,3.126562565403591520e+01,2.385862464079389511e+01,2.802547158661174009e+01,4.811590377259436480e+01
3.637097729365833487e+01,3.237440753281671135e+01,3.125461517352496443e+01,2.381531730041560380e+01,2.795967967616343941e+01,4.822500302342095324e+01
3.638515481643720051e+01,3.236972436734757252e+01,3.124512081621521986e+01,2.377797746059403750e+01,2.790244027595319309e+01,4.831958226345277296e+01
3.639746471853942467e+01,3.236565519261706925e+01,3.123688008884349898e+01,2.374556980994930910e+01,2.785237489372406472e+01,4.840205529632663684e+01
3.640821716435329591e+01,3.236209861410469557e+01,3.122968422154200852e+01,2.371727176055349062e+01,2.780836347836961764e+01,4.847436476107688463e+01
3.641766127615884585e+01,3.235897306291226272e+01,3.122336566092889854e+01,2.369242361315179224e+01,2.776949040048921802e+01,4.853808598635899330e+01
3.642599883099899216e+01,3.235621237992955201e+01,3.121778878907145582e+01,2.367049169552836574e+01,2.773500261212826246e+01,4.859450569234336825e+01
3.643339454481598949e+01,3.235376249115088143e+01,3.121284296403313263e+01,2.365104079018038874e+01,2.770427711498421530e+01,4.864468209483539596e+01
3.643998387008083029e+01,3.235157888075201527e+01,3.120843724916714734e+01,2.363371329263713960e+01,2.767679554704254841e+01,4.868949116032030844e+01
3.644587896333381138e+01,3.234962465310851343e+01,3.120449638355768229e+01,2.361821330130864638e+01,2.765212422653689117e+01,4.872966247215446600e+01
3.645117329260952488e+01,3.234786903368404154e+01,3.120095767370643003e+01,2.360429435895243699e+01,2.762989839539882908e+01,4.876580724564873748e+01
3.645594522458549847e+01,3.234628619991624987e+01,3.119776857549824811e+01,2.359174992505797519e+01,2.760980970884095598e+01,4.879844036610107594e+01
3.646026083956409281e+01,3.234485436237869038e+01,3.119488479805720971e+01,2.358040590984469986e+01,2.759159624662148147e+01,4.882799784353382933e+01
3.646417615710724647e+01,3.234355503732533066e+01,3.119226880556741932e+01,2.357011477845439984e+01,2.757503449346854651e+01,4.885485072807703943e+01
3.646773890823003939e+01,3.234237246673441035e+01,3.118988862503555737e+01,2.356075086110341843e+01,2.755993286544039123e+01,4.887931627345619745e+01
3.647098995604644500e+01,3.234129315288210904e+01,3.118771689107144951e+01,2.355220659680687945e+01,2.754612645649381975e+01,4.890166694669930081e+01
3.647396444187599229e+01,3.234030548248203019e+01,3.118573007564197042e+01,2.354438950523980267e+01,2.753347275331377730e+01,4.892213774144642002e+01
3.647669271546596548e+01,3.233939942134341550e+01,3.118390786319061903e+01,2.353721973054621941e+01,2.752184812252519919e+01,4.894093214692858140e+01
3.647920109433520963e+01,3.233856626491097330e+01,3.118223264075382772e+01,2.353062803743851816e+01,2.751114491721076050e+01,4.895822704535072489e+01
3.648151248701442029e+01,3.233779843336079551e+01,3.118068907962477354e+01,2.352455416725362625e+01,2.750126908249058744e+01,4.897417675025577921e+01
3.648364690723337844e+01,3.233708930243133750e+01,3.117926379033528761e+01,2.351894548221965309e+01,2.749213816523194254e+01,4.898891635254840082e+01
3.648562190023366014e+01,3.233643306307382659e+01,3.117794503669251327e+01,2.351375584182248701e+01,2.748367965256200307e+01,4.900256450561549570e+01
3.648745289788850243e+01,3.233582460447211560e+01,3.117672249763938197e+01,2.350894466711158870e+01,2.747582957912505464e+01,4.901522575376335311e+01
3.648915351584516031e+01,3.233525941610582777e+01,3.117558706804900837e+01,2.350447615798514533e+01,2.746853135496621334e+01,4.902699248704864488e+01
3.649073580322091459e+01,3.233473350541032687e+01,3.117453069136876209e+01,2.350031863561773804e+01,2.746173477531615603e+01,4.903794658906610948e+01
3.649221045328563662e+01,3.233424332826899672e+01,3.117354621844537377e+01,2.349644398774900012e+01,2.745539518096616405e+01,4.904816083128483228e+01
3.649358698192205708e+01,3.233378573010982393e+01,3.117262728796812610e+01,2.349282719890230808e+01,2.744947274381008384e+01,4.905770005728761163e+01
3.649487387935715077e+01,3.233335789580400643e+01,3.117176822483885346e+01,2.348944595103424859e+01,2.744393185682131175e+01,4.906662219214443610e+01
3.649607873962830240e+01,3.233295730690041836e+01,3.117096395347127569e+01,2.348628028283430780e+01,2.743874061149051968e+01,4.907497910567516897e+01
3.649720837143328112e+01,3.233258170499598094e+01,3.117020992357074149e+01,2.348331229805952347e+01,2.743387034876966624e+01,4.908281735317080319e+01
3.649826889334978119e+01,3.233222906026058041e+01,3.116950204638963484e+01,2.348052591502158037e+01,2.742929527200936235e+01,4.909017881296905728e+01
3.649926581588916719e+01,3.233189754430598128e+01,3.116883663980484087e+01,2.347790665073879168e+01,2.742499211235194423e+01,4.909710123690926764e+01
3.650020411241824547e+01,3.233158550672767007e+01,3.116821038085409512e+01,2.347544143438921438e+01,2.742093983865468942e+01,4.910361872695609264e+01
3.650108828063750366e+01,3.233129145476596022e+01,3.116762026459652901e+01,2.347311844561724570e+01,2.741711940533057401e+01,4.910976214905218740e+01
3.650192239602385058e+01,3.233101403561960296e+01,3.116706356835653935e+01,2.347092697398745642e+01,2.741351353257462264e+01,4.911555949343792093e+01
3.650271015841201461e+01,3.233075202102750012e+01,3.116653782056049238e+01,2.346885729648996133e+01,2.741010651432956990e+01,4.912103618918047232e+01
3.650345493270202724e+01,3.233050429379055402e+01,3.116604077350742585e+01,2.346690057050093259e+01,2.740688405007829687e+01,4.912621537942077055e+01
3.650415978452213039e+01,3.233026983596215587e+01,3.116557037951571019e+01,2.346504874001319152e+01,2.740383309715827664e+01,4.913111816282852828e+01
3.650482751154750360e+01,3.233004771847423342e+01,3.116512476997827008e+01,2.346329445329342533e+01,2.740094174079687050e+01,4.913576380590971127e+01
3.650546067106851922e+01,3.232983709200443201e+01,3.116470223692704877e+01,2.346163099040446554e+01,2.739819907948803390e+01,4.914016993010750411e+01
3.650606160431140523e+01,3.232963717891738042e+01,3.116430121677121079e+01,2.346005219926734142e+01,2.739559512368343519e+01,4.914435267704922694e+01
3.650663245794167011e+01,3.232944726613853703e+01,3.116392027591979286e+01,2.345855243913417354e+01,2.739312070606505500e+01,4.914832685480077146e+01
3.650717520311509645e+01,3.232926669883899251e+01,3.116355809804591104e+01,2.345712653050753360e+01,2.739076740191649861e+01,4.915210606757597134e+01
3.650769165239186265e+01,3.232909487482891109e+01,3.116321347277922271e+01,2.345576971068130945e+01,2.738852745831882274e+01,4.915570283099987137e+01
3.650818347478124792e+01,3.232893123956873893e+01,3.116288528565001670e+01,2.345447759419428735e+01,2.738639373107389829e+01,4.915912867473181791e+01
3.650865220915044063e+01,3.232877528172299009e+01,3.116257250912656929e+01,2.345324613758653243e+01,2.738435962840974724e+01,4.916239423400372033e+01
3.650909927619676409e+01,3.232862652918937130e+01,3.116227419461386461e+01,2.345207160793260215e+01,2.738241906064983056e+01,4.916550933141757440e+01
3.650952598915569070e+01,3.232848454554719808e+01,3.116198946529711122e+01,2.345095055469657552e+01,2.738056639513626322e+01,4.916848305016716125e+01
3.650993356339620277e+01,3.232834892687432671e+01,3.116171750972947052e+01,2.344987978451496602e+01,2.737879641579213441e+01,4.917132379969289246e+01
3.651032312503168242e+01,3.232821929888982737e+01,3.116145757607847600e+01,2.344885633856440776e+01,2.737710428678601460e+01,4.917403937464956698e+01
3.651069571866170094e+01,3.232809531438571327e+01,3.116120896695258580e+01,2.344787747221671381e+01,2.737548551983124412e+01,4.917663700795203141e+01
3.651105231434196696e+01,3.232797665091353423e+01,3.116097103474450591e+01,2.344694063672060835e+01,2.737393594471207336e+01,4.917912341856732183e+01
3.651139381386990124e+01,3.232786300869850749e+01,3.116074317743159483e+01,2.344604346268369000e+01,2.737245168267739004e+01,4.918150485463891641e+01
3.651172105646129040e+01,3.232775410875548516e+01,3.116052483478322088e+01,2.344518374515449466e+01,2.737102912238955810e+01,4.918378713245595435e+01
3.651203482388410038e+01,3.232764969118466780e+01,3.116031548493123182e+01,2.344435943013083801e+01,2.736966489815201342e+01,4.918597567171714502e+01
3.651233584510853092e+01,3.232754951362763762e+01,3.116011464126383501e+01,2.344356860234105966e+01,2.736835587017215587e+01,4.918807552748677381e+01
3.651262480052354675e+01,3.232745334986810093e+01,3.115992184960834521e+01,2.344280947416201144e+01,2.736709910664652412e+01,4.919009141919145378e+01
3.651290232576739925e+01,3.232736098855934159e+01,3.115973668567325561e+01,2.344208037555518231e+01,2.736589186747794855e+01,4.919202775696686558e+01
3.651316901520939240e+01,3.232727223206868672e+01,3.115955875272191022e+01,2.344137974491603060e+01,2.736473158945768702e+01,4.919388866562628237e+01
3.651342542512080769e+01,3.232718689542397073e+01,3.115938767945522514e+01,2.344070612074224869e+01,2.736361587276424601e+01,4.919567800649350886e+01
3.651367207656529246e+01,3.232710480535402553e+01,3.115922311808068557e+01,2.344005813403858340e+01,2.736254246864702111e+01,4.919739939731439193e+01
3.651390945803668586e+01,3.232702579941235399e+01,3.115906474255096370e+01,2.343943450138520035e+01,2.736150926817736817e+01,4.919905623043743503e+01
3.651413802786947826e+01,3.232694972517668219e+01,3.115891224695385020e+01,2.343883401860408711e+01,2.736051429196329110e+01,4.920065168943262535e+01
3.651435821644407298e+01,3.232687643951616963e+01,3.115876534403975029e+01,2.343825555496486146e+01,2.735955568073448063e+01,4.920218876430065080e+01
3.651457042820596399e+01,3.232680580792093394e+01,3.115862376387309496e+01,2.343769804787829969e+01,2.735863168671476942e+01,4.920367026540694155e+01
3.651477504351717585e+01,3.232673770388673518e+01,3.115848725259607477e+01,2.343716049803227008e+01,2.735774066570766294e+01,4.920509883626007053e+01
3.651497242035539870e+01,3.232667200835074084e+01,3.115835557129386046e+01,2.343664196492646923e+01,2.735688106982846080e+01,4.920647696524506642e+01
3.651516289587505781e+01,3.232660860917253842e+01,3.115822849495240021e+01,2.343614156277132921e+01,2.735605144082390439e+01,4.920780699640477707e+01
3.651534678784300070e+01,3.232654740065736831e+01,3.115810581149962388e+01,2.343565845671563963e+01,2.735525040392469620e+01,4.920909113935966417e+01
3.651552439595972999e+01,3.232648828311692313e+01,3.115798732092335399e+01,2.343519185937396898e+01,2.735447666218439622e+01,4.921033147844164546e+01
3.651569600307749397e+01,3.232643116246475756e+01,3.115787283445773781e+01,2.343474102762792555e+01,2.735372899125976787e+01,4.921152998111232080e+01
3.651586187632311464e+01,3.232637594984289819e+01,3.115776217383398716e+01,2.343430525967449540e+01,2.735300623459486147e+01,4.921268850573063958e+01
3.651602226813483298e+01,3.232632256127764236e+01,3.115765517058753531e+01,2.343388389230240776e+01,2.735230729897293145e+01,4.921380880872466435e+01
3.651617741722016319e+01,3.232627091736065239e+01,3.115755166541917021e+01,2.343347629837490587e+01,2.735163115040518278e+01,4.921489255121990425e+01
3.651632754944204606e+01,3.232622094295503956e+01,3.115745150760292503e+01,2.343308188450245666e+01,2.735097681032626582e+01,4.921594130517127041e+01
3.651647287863850977e+01,3.232617256692256547e+01,3.115735455443892121e+01,2.343270008888786649e+01,2.735034335207232203e+01,4.921695655903981503e+01
3.651661360738261664e+01,3.232612572187105116e+01,3.115726067074633221e+01,2.343233037933079643e+01,2.734972989761643092e+01,4.921793972305275844e+01
3.651674992768633388e+01,3.232608034392062279e+01,3.115716972839305754e+01,2.343197225137754458e+01,2.734913561454121833e+01,4.921889213408122998e+01
3.651688202165421160e+01,3.232603637248623585e+01,3.115708160585954900e+01,2.343162522660407632e+01,2.734855971322854984e+01,4.921981506016737740e+01
3.651701006209005840e+01,3.232599375007600884e+01,3.115699618783392921e+01,2.343128885102163395e+01,2.734800144424900381e+01,4.922070970472935869e+01
3.651713421306081386e+01,3.232595242210385322e+01,3.115691336483532581e+01,2.343096269359552508e+01,2.734746009593505534e+01,4.922157721046941958e+01
3.651725463042120623e+01,3.232591233671490727e+01,3.115683303286387940e+01,2.343064634486705344e+01,2.734693499212325563e+01,4.922241866300968383e+01
3.651737146230156839e+01,3.232587344462369572e+01,3.115675509307473234e+01,2.343033941567111356e+01,2.734642549005223344e+01,4.922323509427663879e+01
